Rk,Player,Age,Pos,WAR,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,rOBA,Rbat+,TB,GIDP,HBP,SH,SF,IBB,Pos,Awards,Player-additional
1,Shea Langeliers,27,C,0.5,56,230,207,25,49,10,0,10,27,4,1,20,43,.237,.300,.430,.730,103,.318,99,89,6,0,0,3,1,*2/DH,,langesh01
2,Tyler Soderstrom*,23,1B,1.4,69,291,258,36,67,11,1,14,44,3,0,28,72,.260,.340,.473,.813,127,.353,124,122,10,4,0,1,1,37/DH,,soderty01
3,Luis Urías,28,2B,0.4,53,192,162,19,39,5,0,6,14,2,0,22,28,.241,.339,.383,.721,103,.329,106,62,6,3,0,2,0,*4/5H,,uriaslu01
4,Jacob Wilson,23,SS,2.6,64,272,254,36,93,15,0,8,38,5,0,14,16,.366,.402,.520,.922,158,.408,163,132,9,2,1,1,1,*6,,wilsoja05
5,Gio Urshela,33,3B,-0.8,32,107,98,3,22,9,1,0,13,0,0,7,17,.224,.276,.337,.613,72,.279,71,33,4,0,2,0,0,5,,urshegi01
6,Miguel Andujar,30,LF,-0.1,46,180,169,19,50,7,1,3,20,1,0,9,23,.296,.328,.402,.730,105,.324,104,68,5,0,0,2,0,75/H9D3,,andujmi01
7,JJ Bleday*,27,CF,-0.3,52,207,180,27,36,9,0,7,21,1,2,26,45,.200,.300,.367,.666,87,.295,87,66,3,0,0,1,1,*8/7H,,bledajj01
8,Lawrence Butler*,24,RF,1.4,65,287,261,41,69,22,1,9,29,10,2,26,77,.264,.331,.460,.791,120,.348,119,120,2,0,0,0,0,*9/8H,,butlela01
9,Brent Rooker,30,DH,1.0,69,302,274,41,73,14,1,13,38,2,1,26,64,.266,.334,.467,.802,123,.354,127,128,7,2,0,0,0,*D/97H,,rookebr01
10,Nick Kurtz*,22,1B,-0.1,30,116,102,11,24,3,1,5,15,0,1,11,39,.235,.302,.431,.733,104,.308,96,44,2,0,0,3,1,3/D,,kurtzni01
11,Max Muncy,22,2B,-0.6,27,96,93,7,18,4,0,4,10,1,0,3,30,.194,.219,.366,.584,61,.255,52,34,1,0,0,0,0,4/56H,,muncyma02
12,Max Schuemann,28,UT,0.8,47,83,70,9,17,1,2,1,3,3,1,12,14,.243,.361,.357,.719,104,.327,105,25,4,1,0,0,0,5H46/897,,schuema01
13,Seth Brown*,32,OF,-0.5,37,73,62,6,12,2,0,1,3,1,0,9,23,.194,.315,.274,.589,69,.279,69,17,2,2,0,0,0,H7/89D,,brownse01
14,Denzel Clarke,25,CF,0.5,17,57,55,7,11,1,0,1,3,3,0,1,31,.200,.228,.273,.501,41,.234,30,15,1,1,0,0,0,8,,clarkde02
15,Jhonny Pereda,29,C,0.1,17,46,40,3,7,2,0,0,3,0,0,6,13,.175,.283,.225,.508,46,.260,58,9,0,0,0,0,0,2/1H,,peredjh01
16,Willie MacIver,28,C,-0.1,8,25,24,2,5,1,0,0,2,1,0,1,7,.208,.240,.250,.490,39,.227,27,6,0,0,0,0,0,/21,,macivwi01
17,Logan Davidson#,27,IF,-0.3,9,24,20,1,3,1,0,0,2,0,0,3,12,.150,.261,.200,.461,33,.218,24,4,1,0,1,0,0,/35H4,,davidlo01
18,CJ Alexander*,28,UT,-0.2,6,17,17,0,3,0,0,0,0,0,0,0,8,.176,.176,.176,.353,0,.158,-16,3,0,0,0,0,0,/35H79,,alexacj01
19,Drew Avans*,29,OF,-0.2,7,15,15,1,2,0,0,0,0,1,0,0,5,.133,.133,.133,.267,-24,.136,-44,2,0,0,0,0,0,/789H,,avansdr01
20,Austin Wynns,34,C,-0.1,2,4,4,0,0,0,0,0,0,0,0,0,3,.000,.000,.000,.000,-100,.000,-132,0,0,0,0,0,0,/2,,wynnsau01
,Team Totals,,,5.3,69,2624,2365,294,600,117,8,82,285,38,8,224,570,.254,.321,.414,.735,106,.326,105,979,63,15,4,13,5,,,-9999
